ORIGIN_AIRPORT,DESTINATION_AIRPORT,route_delay_rate
11193,12953,0.16666666666666666
11193,13204,0.12962962962962962
11193,13244,0.07692307692307693
11193,13303,0.19230769230769232
11193,13342,0.06666666666666667
11193,13487,0.0
11193,13930,0.16228070175438597
11193,14492,0.3333333333333333
11193,14635,0.047619047619047616
11193,14771,0.0
11193,14869,0.0
11193,15304,0.0
11193,15919,0.08333333333333333
11203,13930,0.05952380952380952
11252,10397,0.07246376811594203
11259,10140,0.09523809523809523
11259,10279,0.07692307692307693
11259,10397,0.08484848484848485
11259,10423,0.18775510204081633
11259,10599,0.030303030303030304
11259,10693,0.1
11259,10721,0.16666666666666666
11259,10821,0.07246376811594203
11259,10994,0.2777777777777778
11259,11057,0.05555555555555555
11259,11066,0.0
11259,11278,0.12605042016806722
11259,11292,0.09523809523809523
11259,11433,0.2222222222222222
11259,11481,0.0
11259,11540,0.043478260869565216
11259,11697,0.09803921568627451
11259,12191,0.09523809523809523
11259,12278,0.03333333333333333
11259,12339,0.05555555555555555
11259,12889,0.05555555555555555
11259,12892,0.13043478260869565
11259,12896,0.11494252873563218
11259,12953,0.23880597014925373
11259,12992,0.08695652173913043
11259,13158,0.075
11259,13198,0.1452991452991453
11259,13204,0.09259259259259259
11259,13232,0.075
11259,13244,0.06060606060606061
11259,13342,0.2777777777777778
11259,13495,0.08527131782945736
11259,13796,0.09090909090909091
11259,13851,0.09803921568627451
11259,13871,0.2222222222222222
11259,14057,0.05555555555555555
11259,14100,0.05555555555555555
11259,14107,0.09195402298850575
