DESTINATION_AIRPORT,destination_delay_rate
HRL,0.1708299758259468
HSV,0.1814505257481801
HYA,0.14814814814814814
HYS,0.1475054229934924
IAD,0.19743127056575735
IAG,0.27058823529411763
IAH,0.19879147976401876
ICT,0.22064933066625636
IDA,0.1401308615049073
ILG,0.3157894736842105
ILM,0.158004158004158
IMT,0.108
IND,0.19511471518987342
INL,0.11637931034482758
ISN,0.1600189933523267
ISP,0.23123556581986143
ITH,0.2
ITO,0.09663776696976105
JAC,0.1970310391363023
JAN,0.19332748024582969
JAX,0.20735507999168917
JFK,0.22525651352886025
JLN,0.255278310940499
JMS,0.18006430868167203
JNU,0.15353061822443598
KOA,0.118487028558971
KTN,0.17546583850931677
LAN,0.17350611951043918
LAR,0.1337719298245614
LAS,0.1837237863943191
LAW,0.22156862745098038
LAX,0.22678849927051367
LBB,0.2242275088870659
LBE,0.2661668228678538
LCH,0.1803840877914952
LEX,0.18015612161051767
LFT,0.1918906176331919
LGA,0.2725376681160886
LGB,0.15183028286189684
LIH,0.11142126075831589
LIT,0.22343324250681199
LNK,0.20748460445286593
LRD,0.17643710870802504
LSE,0.17014446227929375
LWS,0.035864978902953586
MAF,0.22216898259064047
MBS,0.20188133140376266
MCI,0.20144367434284072
MCO,0.2104228011418553
MDT,0.1870748299319728
MDW,0.18031123139377536
MEI,0.20136986301369864
MEM,0.2063102689900186
MFE,0.20900653145410794
MFR,0.17641077783426537
MGM,0.22820109976433622
MHK,0.209992193598751
MHT,0.22162698412698412
MIA,0.2117649164250689
MKE,0.1863602298276293
MKG,0.21031746031746032
MLB,0.15363385464581417
MLI,0.23472041612483746
MLU,0.20067739204064353
MMH,0.2
MOB,0.20214624407287246
MOT,0.18218898708361658
MQT,0.3173913043478261
MRY,0.19514237855946398
MSN,0.18838431478237436
MSO,0.11794871794871795
MSP,0.17071148874903197
MSY,0.18693557136930786
MTJ,0.2243667068757539
MVY,0.1902439024390244
MYR,0.21261904761904762
OAJ,0.20915032679738563
OAK,0.1838789448893076
OGG,0.14681308188111722
OKC,0.220717565569305
OMA,0.19798608026062492
OME,0.18007662835249041
ONT,0.20544672718585763
ORD,0.22409364790967645
ORF,0.20490814000268204
ORH,0.13127413127413126
OTH,0.296137339055794
OTZ,0.1534090909090909
PAH,0.2174757281553398
PBG,0.33185840707964603
PBI,0.23347398030942335
PDX,0.1594267801164353
PHF,0.20136186770428016
PHL,0.2116497145233864
PHX,0.16719688050566536
PIA,0.1816427783902977
PIB,0.24017467248908297
PIH,0.06457564575645756
PIT,0.1936853955582847
PLN,0.16830065359477125
PNS,0.1927359007118087
PPG,0.10227272727272728
PSC,0.1625615763546798
PSE,0.2593220338983051
PSG,0.2100371747211896
PSP,0.18046472798107693
PUB,0.14901960784313725
PVD,0.21432697862507222
PWM,0.2146832759077657
RAP,0.17848055252635406
RDD,0.23737373737373738
RDM,0.1526407428903076
RDU,0.20693306144857065
RHI,0.10635538261997406
RIC,0.21657512910894336
RKS,0.13285457809694792
RNO,0.18763878608438195
ROA,0.18976897689768976
ROC,0.20723179259764626
ROW,0.20969855832241152
RST,0.19419237749546278
RSW,0.19601652815822462
SAF,0.19405320813771518
SAN,0.18499398294295133
SAT,0.2154526470949515
SAV,0.19372574385510996
SBA,0.1716764171878152
SBN,0.20819397993311037
SBP,0.16022727272727272
SCC,0.1262848751835536
SCE,0.24274406332453827
SDF,0.19627873039036847
SEA,0.16063157894736843
SFO,0.22205729803580918
SGF,0.23645122440786834
SGU,0.13365650969529086
SHV,0.2202934490597231
SIT,0.16100957354221063
SJC,0.1786126796714579
SJT,0.19763779527559056
SJU,0.21835876121445588
SLC,0.12366619689953694
SMF,0.19389062243389718
SMX,0.16111111111111112
SNA,0.14856203228296253
SPI,0.23713826366559485
SPS,0.20983935742971888
SRQ,0.1637448713166729
STC,0.38961038961038963
STL,0.18782007285782165
STT,0.19932527410739387
STX,0.21566110397946084
SUN,0.1675603217158177
SUX,0.24691358024691357
SWF,0.2007168458781362
SYR,0.2259190321079572
TLH,0.19004180919802358
TOL,0.16846361185983827
TPA,0.19865555361271395
TRI,0.15699873896595207
TTN,0.3091072229699417
TUL,0.20919842312746387
TUS,0.203750509580106
TVC,0.17089160839160839
TWF,0.07938931297709924
TXK,0.16378162450066577
TYR,0.22105843439911796
TYS,0.24676933970614268
UST,0.2920353982300885
VEL,0.04060913705583756
VLD,0.20132450331125828
VPS,0.1963516594882189
WRG,0.22201492537313433
WYS,0.09178743961352658
XNA,0.24499664204163868
YAK,0.15700934579439252
YUM,0.12614980289093297
